"","name","subset","value","summary","b","I2","I2b","I2w","vb","lb","ub","n","sigma2_1","sigma2_2","tau2","QEE","QEp","pval","M_label"
"34",NA,NA,"Liquid",FALSE,1.01370212958321,"15.38","15.38","0",0.000980215250862645,0.953368085138556,1.07785442321807,"12","0.00137502272612803","4.4599895247357e-12",0,"<0",0.895139358106948,0.66379533254077,"1.01  [ 0.95 , 1.08 ]"
"35",NA,"Film type",NA,TRUE,1.0855341608803,"70.38","47.05","23.33",7.80406310531547e-05,1.06690052460318,1.10449323743316,"298","0.00212232878175711","0.00105246159944978",0,"528.687050604263",2.52146743257313e-51,1.53673423816654e-20,"1.09  [ 1.07 , 1.1 ]"
"36",NA,NA,"Seedling stage",FALSE,1.04108582430069,"0","0","0",0.000570849520333236,0.993457371143865,1.09099768650556,"11","1.12954105686324e-12","9.74915585537348e-13",0,"<0",0.958645189007894,0.0919446543176903,"1.04  [ 0.99 , 1.09 ]"
"37",NA,NA,"Whole year",FALSE,1.04567466485531,"7.83","7.83","0",0.000793074843288294,0.989521879978831,1.10501397376241,"28","0.00111021510221933","3.98041384822374e-12",0,"<0",0.999978463484105,0.112755289101616,"1.05  [ 0.99 , 1.11 ]"
"38","Soil temperature",NA,"Full growing season",FALSE,1.10088212468258,"0","0","0",0.000279944300541585,1.06536619143083,1.13758204661812,"17","4.03483965411889e-12","1.01839417653121e-14",0,"<0",0.999900087615493,9.22750601070733e-09,"1.1  [ 1.07 , 1.14 ]"
"39",NA,NA,"Half growing season",FALSE,1.16047692464811,"0","0","0",0.00947069671970791,0.958958248346045,1.40434340594438,"2","0","3.39296190900404e-12",0,"<0",0.975355353987707,0.12618142605136,"1.16  [ 0.96 , 1.4 ]"
"40",NA,"Mulching cycle",NA,TRUE,1.06589403550933,"11.55","11.55","0",0.000310824460866409,1.02969159146422,1.10336930431644,"58","0.00104446667655506","3.23620801878241e-12",0,"<0",0.999997207110873,0.000295085104887064,"1.07  [ 1.03 , 1.1 ]"
"41",NA,NA,"Flat mulching",FALSE,1.04025023923982,"0","0","0",0.000372557121738501,1.00163191605243,1.08035750747968,"20","8.7661872780918e-11","0",0,"<0",0.99243369641787,0.0409098335280791,"1.04  [ 1 , 1.08 ]"
"42",NA,NA,"Ridge-furrow mulching",FALSE,1.08221995016355,"87.78","65.95","21.83",0.000392922068957429,1.04098098289818,1.12509261914783,"109","0.00545352211858047","0.00180528473310927",0,"380.496238018632",8.99774991587589e-50,6.71550459088103e-05,"1.08  [ 1.04 , 1.13 ]"
"43",NA,"Mulching method",NA,TRUE,1.08088635130529,"85.02","62.82","22.2",0.00033445995843719,1.04282887837994,1.12033271101302,"129","0.00487357060993576","0.00172209226112382",0,"367.98878779029",9.47326071940112e-45,2.10848921371758e-05,"1.08  [ 1.04 , 1.12 ]"
"44",NA,NA,"50-100",FALSE,1.05797666378496,"16.77","16.77","0",0.00031144505872622,1.02200789008902,1.09521133052708,"60","0.00157743979243015","4.46840556618929e-12",0,"<0",0.983497442529199,0.00140559127210136,"1.06  [ 1.02 , 1.1 ]"
"45",NA,NA,"29-50",FALSE,1.03469309602463,"75.01","75.01","0",0.00124165799232144,0.965645274782511,1.10867813566649,"23","0.00548417661249232","9.59432219972175e-13",0,"28.6292320764764",0.000481844906295433,0.333111288885708,"1.03  [ 0.97 , 1.11 ]"
"46",NA,"Mulching ratio",NA,TRUE,1.06344778362381,"41.56","41.56","0",0.000336457921441237,1.025894637849,1.1023755722767,"83","0.00279681846142975","1.24223606639665e-12",0,"34.2352228809869",0.00771057864722985,0.000797380862919252,"1.06  [ 1.03 , 1.1 ]"
"47",NA,NA,"0.003-0.008",FALSE,1.09200139730617,"65.08","65.08","0",0.0004956183580761,1.04537793762415,1.14070424561358,"96","0.00714579374672559","1.24301761774438e-12",0,"39.5905478059858",0.00472013467185373,7.70537105292781e-05,"1.09  [ 1.05 , 1.14 ]"
"48",NA,NA,"0.008-0.015",FALSE,1.0894211856389,"95.12","26.22","68.9",0.000685300326042137,1.03493448211057,1.14677647738485,"24","0.00132432170172548","0.00347984553005161",0,"385.348299616031",3.39300317564992e-72,0.00106914786403588,"1.09  [ 1.03 , 1.15 ]"
"49",NA,NA,"0.015-0.400",FALSE,1.09081683177598,"41.63","31.57","10.06",0.000164323646624639,1.06375198007219,1.11857028966944,"84","0.000827896313427883","0.000263876124646863",0,"16.6813765766744",0.102420223138063,1.19218861984089e-11,"1.09  [ 1.06 , 1.12 ]"
"50",NA,"Film thickness",NA,TRUE,1.08864620409483,"82.3","59.91","22.39",0.000169196102707358,1.06124272059044,1.11675730226041,"204","0.00339434687402274","0.00126856249494031",0,"567.950629194971",4.38413357796526e-67,6.59159583125795e-11,"1.09  [ 1.06 , 1.12 ]"
"51","Total",NA,NA,TRUE,1.08490348945552,"69.6","46.3","23.3",7.50332730135478e-05,1.06663995912648,1.10347973687079,"305","0.00207415601194226","0.00104383465992523",0,"523.497530718595",4.99833733476668e-50,5.07172525436413e-21,"1.08  [ 1.07 , 1.1 ]"
"52",NA,NA,"Cereal crop",FALSE,1.12880721330742,"55.39","40.69","14.7",0.000181764231378103,1.0993699951763,1.1590326554351,"195","0.00349238603446428","0.00126205497992538",0,"542.096186053087",4.16786641487327e-64,2.54274918568396e-19,"1.13  [ 1.1 , 1.16 ]"
"53",NA,NA,"Cash crop",FALSE,1.29055243894008,"88.67","84.59","4.08",0.00308452762442381,1.15744717358524,1.43896467645703,"53","0.0336512240219436","0.0016230984062377",0,"220.075758708979",1.43773222396836e-31,4.37600876277891e-06,"1.29  [ 1.16 , 1.44 ]"
"54",NA,"Crop type",NA,TRUE,1.16893375282877,"78.6","71.65","6.95",0.000339973923185328,1.12744436408474,1.21194993032902,"248","0.0130944092694","0.00127004390283734",0,"816.790083355364",9.74796868319296e-102,2.54831896892989e-17,"1.17  [ 1.13 , 1.21 ]"
"55",NA,NA,"Transparent PE",FALSE,1.16457559264849,"71.85","59.23","12.62",0.000311206617332894,1.12499759894425,1.20554596051167,"174","0.00911211599513408","0.00194217431629878",0,"256.933164295078",7.25358318682104e-24,5.79671224540955e-18,"1.16  [ 1.12 , 1.21 ]"
"56",NA,NA,"Black PE",FALSE,1.19551794556196,"92.09","84.34","7.75",0.00222556745468538,1.08993320444152,1.31133096260982,"29","0.0190920990549049","0.00175393220171182",0,"354.843572398202",5.86881228689662e-64,0.000153464282378743,"1.2  [ 1.09 , 1.31 ]"
"57",NA,NA,"Degradable",FALSE,1.15224788322754,"70.38","70.38","0",0.0011371604381513,1.07855392258931,1.23097710424617,"29","0.00985387378857015","2.48654482048694e-12",0,"27.8410252466154",0.00134498777927865,2.64024383586974e-05,"1.15  [ 1.08 , 1.23 ]"
"58",NA,NA,"Others",FALSE,1.26936009736699,"50.22","50.22","0",0.0100647399210605,1.04277257011008,1.54518358362403,"5","0.0136091725430892","4.13505074447088e-12",0,"<0",0.561854914585299,0.0174330064368814,"1.27  [ 1.04 , 1.55 ]"
"59",NA,NA,"Liquid",FALSE,1.16522246449787,"93.73","93.73","0",0.0155208909866197,0.912774963699905,1.4874897381792,"9","0.0598473754906477","1.59378777168677e-12",0,"66.8446476479311",5.29892571040102e-13,0.219675261686559,"1.17  [ 0.91 , 1.49 ]"
"60",NA,"Film type",NA,TRUE,1.16777105494664,"79.3","71.68","7.62",0.00032551252814211,1.1271983834933,1.20980410967676,"246","0.0121846855363792","0.00129578759185175",0,"777.752716801389",1.55100346175853e-95,8.22201575316317e-18,"1.17  [ 1.13 , 1.21 ]"
"61",NA,NA,"Seedling stage",FALSE,1.21751560168665,"73.32","66.43","6.89",0.00776318853997269,1.02441529441865,1.44701494445338,"13","0.0308431116371973","0.00320041987656794",0,"25.2762666968459",0.000201488147028064,0.0255002707707652,"1.22  [ 1.02 , 1.45 ]"
"62",NA,NA,"Whole year",FALSE,1.14171104369023,"29.65","26.73","2.92",0.000873283966749072,1.07746215054243,1.20979108790782,"38","0.00388683667835105","0.000424424601241212",0,"<0",0.647950387542752,7.30283434949788e-06,"1.14  [ 1.08 , 1.21 ]"
"63","Soil moisture content",NA,"Full growing season",FALSE,1.06163101757509,"27.27","0","27.27",0.000570081922751262,1.01309455253441,1.11249282177859,"25","6.4285193765888e-12","0.00304521361907346",0,"<0",0.468024495899254,0.0122508412603107,"1.06  [ 1.01 , 1.11 ]"
"64",NA,NA,"Half growing season",FALSE,1.13821123169395,"8.68","8.68","0",0.00660627460474202,0.970595029860767,1.334773791434,"6","0.00326730363365694","8.56867187471914e-12",0,"<0",0.795519632738659,0.111214021926325,"1.14  [ 0.97 , 1.33 ]"
"65",NA,"Mulching cycle",NA,TRUE,1.14907127754193,"61.33","55.6","5.73",0.0012432637596191,1.07234282181922,1.23128982076073,"82","0.0139833734354544","0.00144054402367057",0,"115.280561205661",1.4651225292907e-11,8.11945889150271e-05,"1.15  [ 1.07 , 1.23 ]"
"66",NA,NA,"Ridge-furrow mulching",FALSE,1.15399131984831,"67.96","55.49","12.47",0.000315111292509857,1.1145320066154,1.19484766555006,"131","0.00489681250408672","0.00110019905835937",0,"498.048504033443",2.64100032196384e-66,7.11775078900542e-16,"1.15  [ 1.11 , 1.19 ]"
